English,Turkish
murder,cinayet
stretch,uzatmak
scared,korkmuş
shoe,ayakkabı
carriage,taşıma
rob,soymak
direction,yön
industry,endüstri
poor,fakir
ants,karıncalar
nasty,edepsiz
sneaky,sinsi
fit,yerleştirmek
lean,eğilmek
boundary,sınır
rapid,ani
obsolete,modası geçmiş
label,etiket
fancy,süslü
supply,tedarik
payment,ödeme
rabid,kuduz
quack,şarlatan
flowers,çiçekler
employ,istihdam etmek
brave,cesur
brake,fren
support,Destek
son,oğul
report,rapor
swanky,havalı
untidy,düzensiz
kick,tekme atmak
far-flung,uzaklara yayılmış
marry,evlenmek
good,iyi
add,eklemek
butter,tereyağı
approve,onaylamak
crush,ezmek
tie,bağlamak
rural,kırsal
divergent,farklı
beds,yataklar
gigantic,devasa
shivering,titreme
tub,küvet
rustic,rustik
cap,kap
muddle,karışıklık
fumbling,beceriksiz
cobweb,örümcek ağı
possess,elinde bulundurmak
play,oynamak
husky,boğuk
grab,yakalamak
abrasive,aşındırıcı
red,kırmızı
lighten,hafifletmek
temper,öfke
enchanted,büyülü
basketball,basketbol
canvas,tuval
stale,bayat
jaded,yorgun
dinner,akşam yemeği
wheel,teker
stimulating,uyarıcı
name,isim
hushed,sessiz
drunk,sarhoş
thing,şey
vague,başıboş dolaşmak
cream,krem
hat,şapka
replace,yer değiştirmek
uppity,kibir
toys,oyuncaklar
nail,çivi
amount,miktar
hulking,hantal
nebulous,belirsiz
silky,ipeksi
small,küçük
overjoyed,çok memnun
utter,mutlak
abject,sefil
loutish,kaba
male,erkek
busy,Meşgul
brother,Erkek kardeş
hard-to-find,bulunması zor
shelter,barınak
decorous,terbiyeli
explode,patlamak
animal,hayvan
bright,parlak
obsequious,yaltakçı
lace,dantel
concerned,endişeli
