Country,Latitude,Longitude
Turkey,38.963745,35.243322
Germany,51.165691,10.451526
France,46.603354,1.888334
Italy,41.87194,12.56738
Spain,40.463667,-3.74922
China,35.86166,104.195397
Japan,36.204824,138.252924
India,20.593684,78.96288
South Korea,35.907757,127.766922
Saudi Arabia,23.885942,45.079162
South Africa,-30.559482,22.937506
Egypt,26.820553,30.802498
Nigeria,9.081999,8.675277
Kenya,-1.292066,36.821946
Ethiopia,9.145,40.489673
United States,37.09024,-95.712891
Canada,56.130366,-106.346771
Mexico,23.634501,-102.552784
Cuba,21.521757,-77.781167
Panama,8.537981,-80.782127
Brazil,-14.235004,-51.92528
Argentina,-38.416097,-63.616672
Colombia,4.570868,-74.297333
Chile,-35.675147,-71.542969
Peru,-9.189967,-75.015152
Australia,-25.274398,133.775136
New Zealand,-40.900557,174.885971
Fiji,-17.713371,178.065032
Papua New Guinea,-6.314993,143.95555
Samoa,-13.759029,-172.104629
